,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
New Mexico,1722.939,1733.535,1739.844,1821.204,1831.69,1855.309,1877.574,1903.808,1932.274,1962.137,1990.07,2010.662,2036.802,2064.614,2080.707,2087.715,2092.833,2090.236,2090.071,2092.555,2092.844,2093.754,2099.634,2118.488,2116.95,2113.476,2114.371
New York,18143.184,18159.175,18196.601,19001.78,19082.838,19137.8,19175.939,19171.567,19132.61,19104.631,19132.335,19212.436,19307.066,19399.956,19499.921,19574.362,19626.488,19653.431,19657.321,19636.391,19593.849,19544.098,19463.131,20104.71,19854.526,19673.2,19571.216
North Carolina,7428.672,7545.828,7650.789,8081.614,8210.122,8326.201,8422.501,8553.152,8705.407,8917.27,9118.037,9309.449,9449.566,9574.586,9658.913,9751.81,9846.717,9937.295,10037.218,10161.802,10275.758,10391.358,10501.384,10453.812,10567.1,10695.965,10835.491
North Dakota,640.945,637.808,633.666,642.023,639.062,638.168,638.817,644.705,646.089,649.422,652.822,657.569,664.968,674.752,685.526,702.227,723.149,738.736,755.537,756.114,756.755,760.062,763.724,779.563,777.982,778.912,783.926
Ohio,11212.498,11237.752,11256.654,11363.543,11387.404,11407.889,11434.788,11452.251,11463.32,11481.213,11500.468,11515.391,11528.896,11539.449,11545.735,11550.971,11579.692,11606.573,11622.315,11640.06,11665.706,11680.892,11696.507,11798.292,11765.227,11759.697,11785.935
Oklahoma,3314.259,3339.478,3358.044,3454.365,3467.1,3489.08,3504.892,3525.233,3548.597,3594.09,3634.349,3668.976,3717.572,3760.014,3788.824,3819.32,3853.891,3879.187,3910.518,3928.143,3933.602,3943.488,3960.676,3965.234,3991.634,4019.271,4053.824
Oregon,3243.254,3282.055,3316.154,3429.708,3467.937,3513.424,3547.376,3569.463,3613.202,3670.883,3722.417,3768.748,3808.6,3837.614,3872.672,3900.102,3924.11,3965.447,4018.542,4093.271,4147.294,4183.538,4216.116,4245.044,4256.465,4239.379,4233.358
Pennsylvania,12015.888,12002.329,11994.016,12284.173,12298.97,12331.031,12374.658,12410.722,12449.99,12510.809,12563.937,12612.285,12666.858,12711.406,12747.052,12769.123,12779.538,12792.392,12789.838,12788.468,12794.679,12809.107,12798.883,12995.477,13013.614,12972.091,12961.683
Rhode Island,986.966,987.704,990.819,1050.268,1057.142,1065.995,1071.342,1074.579,1067.916,1063.096,1057.315,1055.003,1053.646,1053.994,1053.829,1054.893,1055.56,1056.511,1056.886,1057.816,1056.554,1059.338,1058.158,1096.444,1097.092,1093.842,1095.962
South Carolina,3790.066,3839.578,3885.736,4024.223,4064.995,4107.795,4150.297,4210.921,4270.15,4357.847,4444.11,4528.996,4589.872,4635.846,4672.655,4719.027,4766.469,4826.858,4896.006,4963.031,5027.102,5091.702,5157.702,5132.151,5193.848,5282.955,5373.555
South Dakota,730.855,730.789,733.133,755.844,757.972,760.02,763.729,770.396,775.493,783.033,791.623,799.124,807.067,816.193,823.74,833.859,842.751,849.67,854.663,863.693,873.732,879.386,887.127,887.852,896.299,909.869,919.318
Tennessee,5378.433,5432.679,5483.535,5703.719,5750.789,5795.918,5847.812,5910.809,5991.057,6088.766,6175.727,6247.411,6306.019,6355.518,6400.298,6455.752,6496.943,6544.617,6595.354,6651.277,6714.748,6778.18,6830.325,6926.091,6963.709,7048.976,7126.489
Texas,19355.427,19712.389,20044.141,20944.499,21319.622,21690.325,22030.931,22394.023,22778.123,23359.58,23831.983,24309.039,24801.761,25241.897,25645.504,26084.12,26479.646,26963.092,27468.531,27914.064,28291.024,28624.564,28986.794,29234.361,29561.286,30029.848,30503.301
Utah,2065.397,2100.562,2129.836,2244.502,2283.715,2324.815,2360.137,2401.58,2457.719,2525.507,2597.746,2663.029,2723.421,2775.413,2814.797,2854.146,2898.773,2938.327,2983.626,3044.241,3103.54,3155.153,3203.383,3283.982,3339.284,3381.236,3417.734
Vermont,588.665,590.579,593.74,609.618,612.223,615.442,617.858,619.92,621.215,622.892,623.481,624.151,624.817,625.886,627.197,626.361,626.603,625.693,625.81,624.366,625.132,624.802,624.046,642.936,647.093,647.11,647.464
Virginia,6732.878,6789.225,6872.912,7105.817,7198.362,7286.873,7366.977,7475.575,7577.105,7673.725,7751.0,7833.496,7925.937,8024.004,8102.437,8187.456,8255.861,8315.43,8367.303,8417.651,8471.011,8510.92,8556.642,8637.193,8657.348,8679.099,8715.698
Washington,5604.105,5687.832,5756.361,5910.512,5985.722,6052.349,6104.115,6178.645,6257.305,6370.753,6461.587,6562.231,6667.426,6743.009,6827.479,6898.599,6966.252,7057.531,7167.287,7299.961,7427.951,7526.793,7614.024,7724.566,7741.433,7784.477,7812.88
West Virginia,1815.588,1811.688,1806.928,1807.021,1801.481,1805.414,1812.295,1816.438,1820.492,1827.912,1834.052,1840.31,1847.775,1854.265,1856.606,1857.446,1854.768,1850.569,1843.332,1832.435,1818.683,1805.953,1795.263,1791.562,1785.249,1774.035,1770.071
Wisconsin,5200.235,5222.124,5250.446,5373.999,5406.835,5445.162,5479.203,5514.026,5546.166,5577.655,5610.775,5640.996,5669.264,5690.538,5705.84,5720.825,5738.012,5753.199,5762.927,5775.17,5793.147,5809.319,5824.581,5896.7,5879.978,5890.543,5910.955
Wyoming,480.031,480.045,479.602,494.3,494.657,500.017,503.453,509.106,514.157,522.667,534.876,546.043,559.851,564.531,567.491,576.656,582.62,583.159,586.389,585.243,579.994,579.054,580.116,577.664,579.548,581.629,584.057
